id,year_birth,education,marital_status,income,dt_customer,recency,mntwines,mntmeatproducts,numwebpurchases
5524,1957,Graduation,Single,58138.0,2012-09-04,58,635,546,8
2174,1954,Graduation,Single,46344.0,2014-03-08,38,11,6,1
4141,1965,Graduation,Together,71613.0,2013-08-21,26,426,127,8
6182,1984,Graduation,Together,26646.0,2014-02-10,26,11,20,2
5324,1981,Phd,Married,58293.0,2014-01-19,94,173,118,5
7446,1967,Master,Together,62513.0,2013-09-09,16,520,98,6
965,1971,Graduation,Divorced,55635.0,2012-11-13,34,235,164,7
6177,1985,Phd,Married,33454.0,2013-05-08,32,76,56,4
4855,1974,Phd,Together,30351.0,2013-06-06,19,14,24,3
5899,1950,Phd,Together,5648.0,2014-03-13,68,28,6,1
1994,1983,Graduation,Married,51381.5,2013-11-15,11,5,6,1
387,1976,Basic,Married,7500.0,2012-11-13,59,6,11,2
2125,1959,Graduation,Divorced,63033.0,2013-11-15,82,194,480,3
8180,1952,Master,Divorced,59354.0,2013-11-15,53,233,53,6
2569,1987,Graduation,Married,17323.0,2012-10-10,38,3,17,1
2114,1946,Phd,Single,82800.0,2012-11-24,23,1006,115,7
9736,1980,Graduation,Married,41850.0,2012-12-24,51,53,19,3
4939,1946,Graduation,Together,37760.0,2012-08-31,20,84,38,4
6565,1949,Master,Married,76995.0,2013-03-28,91,1012,498,11
2278,1985,2n cycle,Single,33812.0,2012-11-03,86,4,19,2
9360,1982,Graduation,Married,37040.0,2012-08-08,41,86,73,4
5376,1979,Graduation,Married,2447.0,2013-01-06,42,1,1725,0
1993,1949,Phd,Married,58607.0,2012-12-23,63,867,86,2
4047,1954,Phd,Married,65324.0,2014-01-11,0,384,102,6
1409,1951,Graduation,Together,40689.0,2013-03-18,69,270,27,7
7892,1969,Graduation,Single,18589.0,2013-01-02,89,6,25,2
2404,1976,Graduation,Married,53359.0,2013-05-27,4,173,30,5
5255,1986,Graduation,Single,51381.5,2013-02-20,19,5,3,27
9422,1989,Graduation,Married,38360.0,2013-05-31,26,36,42,2
1966,1965,Phd,Married,84618.0,2013-11-22,96,684,801,6
6864,1989,Master,Divorced,10979.0,2014-05-22,34,8,10,3
3033,1963,Master,Together,38620.0,2013-05-11,56,112,44,2
5710,1970,Graduation,Together,40548.0,2012-10-10,31,110,5,2
7373,1952,Phd,Divorced,46610.0,2012-10-29,8,96,96,4
8755,1946,Master,Married,68657.0,2013-02-20,4,482,471,3
