ID,Year_Birth,Education,Marital_Status,Income,Dt_Customer,Recency,MntWines,MntMeatProducts,NumWebPurchases
5524,1957,Graduation,Single,58138.0,04-09-2012,58,635,546,8
2174,1954,Graduation,Single,46344.0,08-03-2014,38,11,6,1
4141,1965,Graduation,Together,71613.0,21-08-2013,26,426,127,8
6182,1984,Graduation,Together,26646.0,10-02-2014,26,11,20,2
5324,1981,PhD,Married,58293.0,19-01-2014,94,173,118,5
7446,1967,Master,Together,62513.0,09-09-2013,16,520,98,6
965,1971,Graduation,Divorced,55635.0,13-11-2012,34,235,164,7
6177,1985,PhD,Married,33454.0,08-05-2013,32,76,56,4
4855,1974,PhD,Together,30351.0,06-06-2013,19,14,24,3
5899,1950,PhD,Together,5648.0,13-03-2014,68,28,6,1
1994,1983,Graduation,Married,,15-11-2013,11,5,6,1
387,1976,Basic,Married,7500.0,13-11-2012,59,6,11,2
2125,1959,Graduation,Divorced,63033.0,15-11-2013,82,194,480,3
8180,1952,Master,Divorced,59354.0,15-11-2013,53,233,53,6
2569,1987,Graduation,Married,17323.0,10-10-2012,38,3,17,1
2114,1946,PhD,Single,82800.0,24-11-2012,23,1006,115,7
9736,1980,Graduation,Married,41850.0,24-12-2012,51,53,19,3
4939,1946,Graduation,Together,37760.0,31-08-2012,20,84,38,4
6565,1949,Master,Married,76995.0,28-03-2013,91,1012,498,11
2278,1985,2n Cycle,Single,33812.0,03-11-2012,86,4,19,2
9360,1982,Graduation,Married,37040.0,08-08-2012,41,86,73,4
5376,1979,Graduation,Married,2447.0,06-01-2013,42,1,1725,0
1993,1949,PhD,Married,58607.0,23-12-2012,63,867,86,2
4047,1954,PhD,Married,65324.0,11-01-2014,0,384,102,6
1409,1951,Graduation,Together,40689.0,18-03-2013,69,270,27,7
7892,1969,Graduation,Single,18589.0,02-01-2013,89,6,25,2
2404,1976,Graduation,Married,53359.0,27-05-2013,4,173,30,5
5255,1986,Graduation,Single,,20-02-2013,19,5,3,27
